term,z,n_high,n_low
please consider,2.9403329068525794,20,0
reconsider,2.9403329068525794,20,0
but be,2.9304523699315443,22,1
medication,2.929431827857998,43,14
changing,2.905720321843662,44,15
spending,2.90397552874417,29,5
instead,2.901147445016876,63,30
even,2.8804346944628683,120,83
do,2.8677589278438083,216,184
just make,2.856054705715273,21,1
don't need,2.8538719083803517,39,12
feeling,2.83262656830194,28,5
is not,2.828493474857893,433,435
drive,2.8215166187979155,44,16
you could,2.8138190433635617,59,28
might not,2.789424801669856,18,0
that's okay,2.789424801669856,18,0
paying for,2.7822283236301315,22,2
placebo,2.7792073332261786,35,10
if your,2.7649610173723307,64,33
medical,2.74998022625332,88,55
not guaranteed,2.7484661950301144,53,24
help but,2.747402230902207,48,20
keep,2.7442153271586527,76,44
stop,2.7316535446590517,49,21
i'd recommend,2.717265841707609,23,3
dangerous,2.7123970224276315,56,27
may want,2.7108239606170983,17,0
if it,2.704177537612075,73,42
not correct,2.701227661169376,19,1
isn't,2.6856848870324197,96,64
better,2.6795921475889615,208,182
did not,2.672457093375096,39,14
wrong,2.672457093375096,39,14
is safer,2.6538931085305317,36,12
not safe,2.6505139529619393,40,15
it could,2.640594731263384,33,10
i'd advise,2.6298761454569193,16,0
prescribed,2.6250568688194065,20,2
is sufficient,2.6226824201159897,67,38
i'd suggest,2.620453685266391,18,1
save,2.6111806819199828,42,17
aware,2.609634789856693,47,21
feel,2.593189413491602,73,44
lead to,2.582779914041923,49,23
stopping,2.5815039053457465,23,4
did,2.5770958767010317,44,19
can,2.5713215135897713,1507,1811
predict,2.5588988703894846,21,3
be due,2.5588988703894846,21,3
on it,2.5588988703894846,21,3
you should,2.552885815183491,90,61
i'd still,2.546357537548667,15,0
enjoy the,2.546357537548667,15,0
mind,2.546357537548667,15,0
necessary the,2.546357537548667,15,0
your call,2.546357537548667,15,0
be spending,2.546357537548667,15,0
no need,2.5430506087041453,19,2
be prepared,2.5430506087041453,19,2
luck,2.5371665187249253,17,1
enjoy,2.5010913636718093,22,4
lose,2.479908017684538,40,17
vet,2.4688184975889365,32,11
be replacing,2.4600063111942894,14,0
please verify,2.4600063111942894,14,0
psychic,2.4600063111942894,14,0
said it,2.4600063111942894,14,0
still need,2.458493297032079,18,2
than needed,2.458493297032079,18,2
expect,2.452583943520691,29,9
might help,2.450288425513865,23,5
true,2.4484735717863084,48,24
too,2.447923590303226,121,95
decision,2.44492464739,26,7
be more,2.4433705750339656,33,12
better to,2.4433705750339656,33,12
is,2.4418306719073337,2643,3326
help,2.4218032609008735,246,235
one is,2.412776931582312,39,17
safer to,2.408764568162198,27,8
may need,2.3987560481272077,35,14
don't expect,2.391242583608313,19,3
checking,2.3762974101218397,57,33
them,2.3751764491663248,148,126
is fine,2.3751505879628607,74,49
okay but,2.3711431702184314,17,2
just keep,2.370512933226716,13,0
that's risky,2.370512933226716,13,0
prepared for,2.370512933226716,13,0
add,2.3656339867827385,86,61
unnecessarily,2.362027928797709,15,1
for you,2.362027928797709,15,1
first you,2.362027928797709,15,1
worth,2.36116816702764,37,16
may still,2.348010200867897,33,13
prepared,2.3333209486240514,20,4
items,2.330031590917892,26,8
and could,2.323430269846822,23,6
try,2.3053022526083624,48,26
be from,2.28420366369078,24,7
talk,2.2807192387987065,16,2
cautious about,2.2775070264142627,12,0
won't be,2.2775070264142627,12,0
hope,2.2775070264142627,12,0
what said,2.2775070264142627,12,0
please use,2.2775070264142627,12,0
changes that's,2.2775070264142627,12,0
just know,2.2775070264142627,12,0
confirm that,2.26954824012666,14,1
an unnecessary,2.26954824012666,14,1
leave you,2.26954824012666,14,1
they're,2.2439758648264543,29,11
with your,2.2237068921118532,41,21
you'll,2.191093081979254,37,18
they won't,2.186892052932044,15,2
sure the,2.186892052932044,15,2
many causes,2.186892052932044,15,2
miss,2.186892052932044,15,2
strongly advise,2.180539180415403,11,0
symbolic,2.180539180415403,11,0
will likely,2.180539180415403,11,0
okay if,2.180539180415403,11,0
say that,2.180539180415403,11,0
said the,2.180539180415403,11,0
separate you'll,2.180539180415403,11,0
changing engine,2.180539180415403,11,0
please get,2.180539180415403,11,0
choice for,2.1732737652695455,13,1
coincidence,2.1732737652695455,13,1
you like,2.1732737652695455,13,1
changing oil,2.1732737652695455,13,1
proven,2.1715480065379973,80,59
skin,2.1707030726594683,79,58
strongly,2.16676756354235,24,8
expensive,2.1658767989650722,28,11
not that,2.154947246454106,18,4
should check,2.154947246454106,18,4
see,2.1442600152386655,92,72
get,2.1421650087641733,91,71
your manual,2.141669299048179,53,33
that is,2.1290749221101097,57,37
check,2.1141183300766504,344,366
leave,2.1087353898530923,46,27
seeing,2.1057490429194394,19,5
unnecessary,2.1054166700133248,94,75
it is,2.0896527236352327,115,98
but i'd,2.0892715500562447,14,2
can cause,2.0826436082617916,113,96
you stranded,2.079055110470491,10,0
not what,2.079055110470491,10,0
the systems,2.079055110470491,10,0
won't harm,2.079055110470491,10,0
overreaction,2.079055110470491,10,0
please consult,2.079055110470491,10,0
it please,2.079055110470491,10,0
safe you,2.079055110470491,10,0
actually the,2.079055110470491,10,0
stranded,2.079055110470491,10,0
good luck,2.079055110470491,10,0
the opposite,2.079055110470491,10,0
suggest checking,2.079055110470491,10,0
an overreaction,2.079055110470491,10,0
many people,2.0786437731143472,40,22
you'll be,2.072709891690577,12,1
before making,2.072709891690577,12,1
consulting,2.072709891690577,12,1
for no,2.072709891690577,12,1
damage your,2.072709891690577,12,1
check the,2.069573171652357,129,114
safer,2.0681401693223433,96,78
monitor,2.0647082750706347,28,12
getting,2.0634335142472384,20,6
for more,2.0611708315006587,17,4
more frequent,2.052913490103004,24,9
it's safe,2.0483301971480365,35,18
worsen,2.0455690799046,29,13
irritate,2.0283790203068395,30,14
fine for,2.0272146275592497,25,10
cure,2.022700085115065,107,91
consult,2.0129169017032553,31,15
that's myth,2.0127393696228655,18,5
someone,2.0127393696228655,18,5
can still,1.9989936789116662,32,16
talk to,1.987390800810923,13,2
medical treatment,1.987390800810923,13,2
good but,1.987390800810923,13,2
be harmful,1.987390800810923,13,2
don't rely,1.987390800810923,13,2
has no,1.9864468047364718,33,17
past,1.9841426116428147,27,12
ear,1.9841426116428147,27,12
fine to,1.9672472808584445,11,1
safe no,1.9672472808584445,11,1
ad,1.9672472808584445,11,1
you still,1.9672472808584445,11,1
placebo or,1.9672472808584445,11,1
afford,1.9672472808584445,11,1
that's dangerous,1.9672472808584445,11,1
be safer,1.9672472808584445,11,1
just don't,1.9672472808584445,11,1
have many,1.9639321578252695,16,4
scientifically,1.9639321578252695,16,4
works for,1.9639321578252695,16,4
unlikely to,1.9424640275604645,24,10
checking the,1.9359839408369086,20,7
does,1.9327147163207476,224,229
watch for,1.9188106463404735,14,3
not evidence,1.9188106463404735,14,3
throat,1.9164801709772152,17,5
take,1.9129643720583178,43,27
confirm,1.9092210231581426,44,28
see doctor,1.900664851097901,33,18
may help,1.8924695023738176,57,41
would be,1.8913998699738672,34,19
can damage,1.8913998699738672,34,19
but it,1.8870409976039924,166,162
verify with,1.8806838692851577,12,2
happen,1.8806838692851577,12,2
oil for,1.8806838692851577,12,2
ritual,1.8806838692851577,12,2
upset,1.8806838692851577,12,2
but your,1.8806838692851577,12,2
experience,1.8757192534854628,36,21
may cause,1.8698460673662254,28,14
unlikely,1.8698460673662254,28,14
without,1.866806743356424,130,121
magnetic,1.8628677851568052,15,4
calorie deficit,1.8628677851568052,15,4
evaluation,1.8628677851568052,15,4
it does,1.8591886307562855,70,55
consult your,1.8561217303673205,10,1
talking,1.8561217303673205,10,1
use proper,1.8561217303673205,10,1
first if,1.8561217303673205,10,1
can afford,1.8561217303673205,10,1
call your,1.8561217303673205,10,1
you're not,1.8561217303673205,10,1
everything,1.8561217303673205,10,1
could cause,1.8561217303673205,10,1
opposite,1.8561217303673205,10,1
didn't,1.855542220198629,23,10
know,1.8446985884432971,30,16
one,1.843120879517438,240,252
label is,1.839387198908257,91,78
may have,1.8372515902203428,59,44
rely on,1.8352482450335041,24,11
quick,1.8352482450335041,24,11
guarantee,1.8329359834199348,49,34
no evidence,1.832191649527346,53,38
be better,1.8131492653585373,20,8
manual's interval,1.8123809238104116,13,3
try it,1.8123809238104116,13,3
and don't,1.8123809238104116,13,3
sufficient,1.799662011345562,81,68
acne,1.7880491977322528,27,14
let,1.7880491977322528,27,14
not supported,1.7835236357935498,60,46
infection,1.7808275729447158,40,26
not proven,1.7781000973753973,41,27
soothe,1.7780856354435168,17,6
follow the,1.775937373108291,28,15
there's no,1.7713880209268975,85,73
harm your,1.7684550303681563,11,2
be worth,1.7684550303681563,11,2
be wrong,1.7684550303681563,11,2
for safety,1.7684550303681563,11,2
can lead,1.7652772902440423,29,16
an,1.759773123288796,298,327
predictions,1.7575514262815912,14,4
need it,1.7575514262815912,14,4
be sure,1.7575514262815912,14,4
want,1.7524454222683463,99,89
permanently,1.7456176338325389,18,7
it's an,1.7456176338325389,18,7
does not,1.7432268836741158,192,198
need proper,1.738354397445987,9,1
helpful but,1.738354397445987,9,1
just remember,1.738354397445987,9,1
support that,1.738354397445987,9,1
doctor before,1.738354397445987,9,1
accurate the,1.738354397445987,9,1
it's okay,1.738354397445987,9,1
it just,1.738354397445987,9,1
might still,1.738354397445987,9,1
talking to,1.738354397445987,9,1
harmless but,1.738354397445987,9,1
guaranteed cure,1.738354397445987,9,1
not help,1.738354397445987,9,1
rely,1.7311028390593022,24,12
financial,1.7286928316985,34,21
have no,1.7181005818541508,19,8
that claim,1.7181005818541508,19,8
water is,1.7135757712048698,38,25
it's worth,1.7129048205418027,15,5
would not,1.7129048205418027,15,5
deficit,1.7129048205418027,15,5
and may,1.7096790465430505,81,70
harmful,1.707788524741983,41,28
mean,1.706753696287687,48,35
is better,1.7056217553337634,46,33
call,1.7054399627702788,45,32
be misleading,1.7007840806441046,12,3
doesn't affect,1.7007840806441046,12,3
by evidence,1.7007840806441046,12,3
frequent oil,1.7007840806441046,12,3
before paying,1.7007840806441046,12,3
arthritis,1.6946545655815797,20,9
change,1.6893964636181844,102,94
lawyer,1.6761291705893506,16,6
interview,1.6761291705893506,16,6
yourself,1.6761291705893506,16,6
real,1.6743123219561253,73,62
even if,1.6690271154470033,30,18
replace,1.665629296270134,57,45
treatment,1.6651468572077999,81,71
opinion,1.6573864821040816,22,11
the water,1.6573864821040816,22,11
delay,1.6573864821040816,22,11
it's better,1.6573864821040816,22,11
put,1.6498349589302772,10,2
i'd check,1.6498349589302772,10,2
benefits but,1.6498349589302772,10,2
helps you,1.6498349589302772,10,2
barrier,1.6498349589302772,10,2
are still,1.6498349589302772,10,2
it would,1.6498349589302772,10,2
be unnecessary,1.647478575101647,13,4
valid,1.647478575101647,13,4
relaxation,1.647478575101647,13,4
not true,1.647478575101647,13,4
too often,1.647478575101647,13,4
systems are,1.647478575101647,13,4
but some,1.6425948146326534,23,12
can have,1.6425948146326534,23,12
use it,1.6425948146326534,23,12
carefully,1.6199682200978454,18,8
reading,1.618935145621362,25,14
it doesn't,1.6068730411516674,56,45
understand,1.6047999662886605,14,5
is risky,1.6047999662886605,14,5
feels,1.6047999662886605,14,5
prices,1.6015112169720171,27,16
worse,1.5984310189714281,19,9
can irritate,1.5984310189714281,19,9
is generally,1.5909435653281734,51,40
everyone,1.5888648491941466,29,18
outcomes,1.5839954912237133,30,19
it you,1.5832907781217742,11,3
you enjoy,1.5832907781217742,11,3
be good,1.5832907781217742,11,3
cards,1.5832907781217742,11,3
watch,1.5802385564141666,20,10
overnight,1.579953702862002,31,20
will not,1.5701929530657888,15,6
you're concerned,1.5701929530657888,15,6
influenced,1.5701929530657888,15,6
remember,1.5701929530657888,15,6
not need,1.5648373722636286,21,11
ensure,1.5648373722636286,21,11
required,1.5639579154808099,59,49
possible,1.5639579154808099,59,49
on your,1.5549180937574032,68,59
chance,1.5418578387832278,16,7
budget,1.5418578387832278,16,7
can make,1.540742276501289,23,13
prepare,1.5320461849773326,12,4
fear,1.5320461849773326,12,4
helps with,1.5320461849773326,12,4
the plant,1.5320461849773326,12,4
is dangerous,1.5320461849773326,12,4
the wrong,1.5320461849773326,12,4
be dangerous,1.5320461849773326,12,4
than necessary,1.5320461849773326,12,4
not guarantee,1.531411124227607,24,14
will,1.5298313843146654,107,104
evidence shows,1.5237166853785467,9,2
save money,1.5237166853785467,9,2
isn't the,1.5237166853785467,9,2
evidence doesn't,1.5237166853785467,9,2
meant,1.5237166853785467,9,2
gave,1.5237166853785467,9,2
indicate microwave,1.5237166853785467,9,2
that might,1.5237166853785467,9,2
not good,1.5237166853785467,9,2
speak,1.5237166853785467,9,2
not work,1.5237166853785467,9,2
no they,1.5237166853785467,9,2
better for,1.5235614082773925,25,15
that's common,1.499129371067551,18,9
toxins,1.4968874420835656,37,27
get second,1.4918433492347938,13,5
time to,1.4918433492347938,13,5
much,1.484286306759472,87,82
is also,1.4830385773146815,19,10
medications,1.4830385773146815,19,10
damage,1.4807767351036618,137,141
lead,1.4787870166122656,52,43
too much,1.4696552664308922,20,11
needs,1.4660111882053737,49,40
mood,1.4598618989951466,14,6
using it,1.4598618989951466,14,6
odds,1.4589983962820126,10,3
or cure,1.4589983962820126,10,3
make you,1.4589983962820126,10,3
inaccurate,1.4589983962820126,10,3
it that's,1.4589983962820126,10,3
can soothe,1.4589983962820126,10,3
generally safe,1.458536997618373,21,12
fail,1.458536997618373,21,12
wait,1.4417564284608189,23,14
if the,1.4357680974032705,130,134
completely,1.4355797136494768,24,15
oil changes,1.4341644861618443,15,7
gently,1.4341644861618443,15,7
can worsen,1.4341644861618443,15,7
no,1.4291719529857578,622,763
problems,1.4208232975432058,34,25
her,1.4133771183120611,16,8
belief,1.4133771183120611,16,8
it's fine,1.4133771183120611,16,8
side effects,1.4133771183120611,16,8
expectations,1.4133771183120611,16,8
boost,1.4133771183120611,16,8
fat loss,1.4133771183120611,16,8
second opinion,1.4133771183120611,16,8
practice but,1.4105253849068287,11,4
success,1.4105253849068287,11,4
fix the,1.4105253849068287,11,4
following the,1.4105253849068287,11,4
the problem,1.4105253849068287,11,4
should still,1.4105253849068287,11,4
not kill,1.4105253849068287,11,4
expectation,1.4105253849068287,11,4
what you,1.4105253849068287,11,4
help some,1.3964981477271343,17,9
doesn't mean,1.3964981477271343,17,9
stomach upset,1.388659027842635,8,2
wasting,1.388659027842635,8,2
photos can,1.388659027842635,8,2
and safe,1.388659027842635,8,2
save you,1.388659027842635,8,2
selective,1.388659027842635,8,2
relief but,1.388659027842635,8,2
dispute,1.388659027842635,8,2
market,1.3840759799678346,44,36
dog,1.382779873338652,18,10
manual's,1.382779873338652,18,10
proper,1.3795681847232162,63,57
usually,1.3767859735451495,212,237
do not,1.3756084720857369,116,119
heal,1.373443687705857,12,5
learn,1.373443687705857,12,5
it cannot,1.373443687705857,12,5
instead of,1.373443687705857,12,5
properties but,1.373443687705857,12,5
delaying,1.373443687705857,12,5
cures,1.3716526224006231,19,11
it's often,1.3716526224006231,19,11
verify,1.3713099544414509,41,33
always,1.3687654402736846,115,118
choose,1.3626745705896708,20,12
return,1.3554976687043845,21,13
own,1.3549125901635344,50,43
rest,1.350010938371151,35,27
the actual,1.345488679141131,23,15
helpful,1.345488679141131,23,15
substitute for,1.345488679141131,23,15
doesn't make,1.3446518101224312,13,6
anything,1.3446518101224312,13,6
drink,1.3446518101224312,13,6
decisions,1.3446518101224312,13,6
influenced by,1.3446518101224312,13,6
is best,1.3446518101224312,13,6
option,1.3446518101224312,13,6
already,1.3406903020837566,31,23
value,1.3406903020837566,31,23
offer,1.3382512746556343,29,21
effect on,1.3378214202122194,27,19
know the,1.3267714637833727,9,3
best for,1.3267714637833727,9,3
first and,1.3267714637833727,9,3
nothing,1.3267714637833727,9,3
be risky,1.3267714637833727,9,3
frequent than,1.3267714637833727,9,3
have some,1.3267714637833727,9,3
trigger,1.3267714637833727,9,3
evaluate,1.3220786348544231,14,7
remove toxins,1.3220786348544231,14,7
manage,1.3220786348544231,14,7
your engine,1.3220786348544231,14,7
destroy,1.3220786348544231,14,7
bank,1.3220786348544231,14,7
say,1.3101408535762447,60,55
you are,1.3042883970055397,15,8
best to,1.3042883970055397,15,8
random,1.3042883970055397,15,8
passport,1.3042883970055397,15,8
checking your,1.3042883970055397,15,8
guarantees,1.3042883970055397,15,8
follow,1.3034091962087218,59,54
works,1.296660505246247,58,53
cannot,1.296660505246247,58,53
amount,1.2920106263873192,49,43
it's safer,1.290253953743421,16,9
is unlikely,1.290253953743421,16,9
not all,1.2876895959836496,37,30
might have,1.2820242160291033,10,4
she,1.2820242160291033,10,4
and won't,1.2820242160291033,10,4
not medical,1.2820242160291033,10,4
that advice,1.2820242160291033,10,4
so you,1.2820242160291033,10,4
you get,1.2820242160291033,10,4
generally fine,1.2820242160291033,10,4
with doctor,1.2820242160291033,10,4
healthcare,1.2820242160291033,10,4
you're,1.276833103571293,97,99
influence,1.2706213886472963,18,11
concerned,1.2706213886472963,18,11
is from,1.2640214493939874,19,12
evidence of,1.2640214493939874,19,12
handle,1.2640214493939874,19,12
scientific evidence,1.2557865180622902,28,21
extra,1.2557865180622902,28,21
future,1.2555350727795338,21,14
making,1.2555350727795338,21,14
actual,1.2527252049663788,59,55
make the,1.25179963804669,23,16
not substitute,1.251294106094328,24,17
having,1.2488932399342678,11,5
be the,1.2488932399342678,11,5
change is,1.2488932399342678,11,5
habit,1.2488932399342678,11,5
encourage,1.2488932399342678,11,5
be enough,1.2488932399342678,11,5
modestly,1.2488932399342678,11,5
lock,1.2488932399342678,11,5
it reduces,1.2488932399342678,11,5
harm,1.2373466503084607,40,34
its own,1.2239934579715628,12,6
fine if,1.2239934579715628,12,6
pests,1.2239934579715628,12,6
buying,1.2239934579715628,12,6
dermatologist,1.2239934579715628,12,6
spot,1.2239934579715628,12,6
not harmful,1.2239934579715628,12,6
for some,1.2145316582532886,36,30
stay,1.205136063616042,13,7
doctor if,1.205136063616042,13,7
reasons,1.205136063616042,13,7
can actually,1.205136063616042,13,7
not always,1.2024961064806456,59,56
personal,1.1985565043244983,33,27
scientific,1.194151699113869,51,47
to,1.191733632488976,1267,1646
vinegar can,1.1908422065056417,14,8
measurable,1.1908422065056417,14,8
skipping,1.1908422065056417,14,8
out,1.1870981165214203,57,54
sooner,1.1851544531225162,8,3
to cure,1.1851544531225162,8,3
despite,1.1851544531225162,8,3
alone may,1.1851544531225162,8,3
an estimate,1.1851544531225162,8,3
safer and,1.1851544531225162,8,3
it persists,1.1851544531225162,8,3
the research,1.1851544531225162,8,3
review the,1.1851544531225162,8,3
even with,1.1851544531225162,8,3
is actually,1.1851544531225162,8,3
necessary and,1.1851544531225162,8,3
and be,1.1851544531225162,8,3
avoid it,1.1851544531225162,8,3
can try,1.1851544531225162,8,3
tips,1.1851544531225162,8,3
is different,1.1851544531225162,8,3
his,1.184052967004583,30,24
incorrect,1.180076000272126,15,9
antibiotics,1.180076000272126,15,9
it helps,1.180076000272126,15,9
wastes,1.180076000272126,15,9
safely,1.1720897546558935,16,10
he,1.1720897546558935,16,10
your body,1.1720897546558935,16,10
create,1.1717107955311676,27,21
substitute,1.1717107955311676,27,21
should,1.1711527650071256,161,181
overnight charging,1.1663300074101632,17,11
contract,1.1651898833044505,25,19
it but,1.1623781741588914,18,12
skills,1.1623781741588914,18,12
moving,1.1623781741588914,18,12
to use,1.1623781741588914,18,12
and your,1.1605586834052823,23,17
safe and,1.1605586834052823,23,17
treatments,1.1599117724979406,19,13
emergency,1.1591478548164713,22,16
black,1.158477411563436,21,15
you've,1.1454357618272886,9,4
course,1.1454357618272886,9,4
sign of,1.1454357618272886,9,4
doses can,1.1454357618272886,9,4
can take,1.1454357618272886,9,4
usually better,1.1454357618272886,9,4
vaccination,1.1454357618272886,9,4
water does,1.1454357618272886,9,4
fiber and,1.1454357618272886,9,4
expense,1.1454357618272886,9,4
are safer,1.1454357618272886,9,4
keep it,1.1454357618272886,9,4
hold,1.1454357618272886,9,4
not mean,1.1454357618272886,9,4
do that,1.1454357618272886,9,4
pay,1.1403017575090941,35,30
outdated,1.1403017575090941,35,30
plants,1.1273508242287744,33,28
likely,1.1234906954342814,114,124
longer,1.1210258001308757,72,73
there's,1.1198786522253636,96,102
your vet,1.1173357075080463,10,5
test the,1.1173357075080463,10,5
the temperature,1.1173357075080463,10,5
many cars,1.1173357075080463,10,5
bias,1.1173357075080463,10,5
oil may,1.1173357075080463,10,5
safe that's,1.1173357075080463,10,5
the recommended,1.11477400212455,31,26
two,1.1032827517872876,39,35
common myth,1.0972119442494648,11,6
be based,1.0972119442494648,11,6
outcome,1.0972119442494648,11,6
to help,1.0972119442494648,11,6
may work,1.0972119442494648,11,6
you notice,1.0972119442494648,11,6
the manual's,1.0972119442494648,11,6
force,1.0972119442494648,11,6
week,1.0969111300942067,28,23
at least,1.0956123924583703,38,34
hours is,1.0948109366655483,58,57
is good,1.0859502283524507,26,21
that it,1.0827953762184095,12,7
some but,1.0827953762184095,12,7
tiny,1.0827953762184095,12,7
brown,1.0827953762184095,12,7
juice,1.0760649699858231,24,19
phones,1.0760649699858231,24,19
wrap is,1.0725972599449904,13,8
entirely,1.0725972599449904,13,8
scan,1.0725972599449904,13,8
gentle,1.0725972599449904,13,8
the benefit,1.0725972599449904,13,8
persists,1.0716434819677647,23,18
pads,1.0716434819677647,23,18
the amount,1.0655994532728712,14,9
contact your,1.0655994532728712,14,9
slightly but,1.0655994532728712,14,9
safe to,1.0655994532728712,14,9
prediction,1.0655994532728712,14,9
you use,1.0655994532728712,14,9
harmless,1.0641647266154994,21,16
cleaner,1.0641647266154994,21,16
irritation,1.0641647266154994,21,16
is myth,1.061278504932378,20,15
step,1.061278504932378,20,15
extremely,1.0585198740524073,16,11
misleading,1.0585198740524073,16,11
still be,1.0585198740524073,16,11
melt,1.0577961121998625,18,13
watering,1.0575236119582652,17,12
modern phones,1.0575236119582652,17,12
pain,1.0516937409608318,64,65
and can,1.0405774510011596,91,98
good,1.0391428063842159,187,219
is safe,1.0336060299117162,45,43
and not,1.0329504394798723,51,50
it's possible,1.032240308029515,7,3
let the,1.032240308029515,7,3
skills and,1.032240308029515,7,3
eliminating,1.032240308029515,7,3
costly,1.032240308029515,7,3
usually more,1.032240308029515,7,3
low and,1.032240308029515,7,3
scammers,1.032240308029515,7,3
because you,1.032240308029515,7,3
better that's,1.032240308029515,7,3
no legitimate,1.032240308029515,7,3
be part,1.032240308029515,7,3
the law,1.032240308029515,7,3
anecdotes,1.032240308029515,7,3
connect,1.032240308029515,7,3
tested and,1.032240308029515,7,3
not scientifically,1.032240308029515,7,3
you prefer,1.032240308029515,7,3
facial,1.032240308029515,7,3
moisturize,1.032240308029515,7,3
need new,1.032240308029515,7,3
that way,1.032240308029515,7,3
heavily soiled,1.032240308029515,7,3
than you,1.032240308029515,7,3
warmth,1.032240308029515,7,3
first step,1.032240308029515,7,3
sure it's,1.032240308029515,7,3
they're not,1.032240308029515,7,3
important to,1.032240308029515,7,3
least,1.0319253078913848,38,35
safe for,1.0272346244668122,29,25
that can,1.0272346244668122,29,25
excessive,1.0272346244668122,29,25
redundant,1.0198679762481084,28,24
no scientific,1.0198679762481084,28,24
remove,1.0159571450988147,70,73
labels don't,1.0125965389133413,27,23
supported,1.0094504813575234,74,78
toxins or,0.999364403274947,8,4
uncomfortable,0.999364403274947,8,4
sore,0.999364403274947,8,4
nice,0.999364403274947,8,4
better but,0.999364403274947,8,4
one can,0.999364403274947,8,4
the roots,0.999364403274947,8,4
