term,z,n_high,n_low
time oh,3.573827307366452,36,0
both,3.5535445390665257,82,24
better i'll,3.5391600733801742,47,5
but the,3.529386465146509,118,48
showed,3.524511772774662,66,15
drink,3.501413762581342,69,17
order,3.487808458815852,56,10
he's,3.4850319310260227,48,6
my friends,3.4731046958949507,34,0
i'll order,3.4731046958949507,34,0
labels everywhere,3.4731046958949507,34,0
i'll never,3.4455170759224316,36,1
no need,3.4455170759224316,36,1
trust them,3.421633101523718,33,0
only use,3.408680539097633,40,3
trust it,3.387680446737938,52,9
natural,3.387680446737938,52,9
i'll replace,3.3849069269332963,50,8
try,3.381681871493716,95,35
mechanic knows,3.369376248012182,32,0
two,3.3685819251464326,105,42
mine,3.350089943913209,55,11
never,3.3437078278566097,182,100
said the,3.3425800426864254,97,37
it will,3.3413549440975543,62,15
keep using,3.338895570480479,43,5
together is,3.316297014170009,31,0
needed that's,3.316297014170009,31,0
buy the,3.2877483291295624,33,1
friends,3.287104497553338,42,5
every day,3.284909421286282,48,8
tomorrow,3.2122078553213758,34,2
from now,3.2075074677399487,29,0
with labels,3.2075074677399487,29,0
told my,3.1971333558042287,36,3
so all,3.181253915802093,40,5
every night,3.17826541490361,31,1
take,3.1596696182704105,91,36
pendulum,3.151706337721436,28,0
now on,3.151706337721436,28,0
containers with,3.151706337721436,28,0
that's the,3.1325020454218246,37,4
switch,3.116719308876252,59,16
they said,3.101594986327494,57,15
roommate,3.1008357691215735,32,2
follow it,3.094900303503932,27,0
use containers,3.094900303503932,27,0
again,3.0721602830069714,38,5
next,3.0705055277826245,74,26
overnight,3.0687197283119643,77,28
my roommate,3.0436744631089754,31,2
exactly hours,3.0436744631089754,31,2
trust her,3.037032977045385,26,0
hours every,3.037032977045385,26,0
will be,3.023058698958561,43,8
hours,2.994687747174354,178,106
out,2.988364151182763,125,64
it's natural,2.9780424920068804,25,0
it he,2.9780424920068804,25,0
is needed,2.9714605245444163,32,3
it the,2.9631908852910236,34,4
using it,2.959527998938045,36,5
so they,2.9472708811723014,27,1
i'll stop,2.9438384359639262,47,11
toxins,2.91806168282699,63,21
completely,2.91806168282699,63,21
energy,2.9179556860645572,55,16
mean extra,2.917860728360509,24,0
no it's,2.917860728360509,24,0
be fine,2.917860728360509,24,0
it's better,2.917860728360509,24,0
drive hours,2.917860728360509,24,0
do both,2.917860728360509,24,0
psychic,2.917860728360509,24,0
anyway,2.9124935559687013,31,3
it's fine,2.9065287144679925,39,7
blog said,2.9026000165707977,37,6
must be,2.89139701293067,64,22
i'll set,2.886674446638692,26,1
it so,2.8773951029312963,44,10
right labels,2.856412389914841,23,0
will buy,2.856412389914841,23,0
need labels,2.856412389914841,23,0
said always,2.856412389914841,23,0
get the,2.8523960772088373,30,3
replace it,2.849395959514597,38,7
set,2.8476840288330374,60,20
ad said,2.803870669805239,27,2
better,2.7969387040906724,193,124
her,2.7957703175736053,112,58
miles i'll,2.7936138991488657,22,0
it's working,2.7936138991488657,22,0
better that's,2.7936138991488657,22,0
got it,2.7936138991488657,22,0
true so,2.7913187196253406,37,7
so,2.75665357899232,1499,1403
three,2.754934022362749,73,30
keep it,2.7527763669729373,40,9
only,2.752179530815501,202,133
microwave,2.750646683979891,103,52
it on,2.7414612508391034,38,8
mentioned,2.7407900215799246,26,2
better i'm,2.729372063085642,21,0
both no,2.729372063085642,21,0
neighbour knows,2.729372063085642,21,0
no every,2.729372063085642,21,0
you mentioned,2.729372063085642,21,0
to stop,2.722228166880705,32,5
i'll follow,2.708607152080543,72,30
and,2.7029229476224574,1206,1109
replace,2.7026400679324225,107,56
that i'll,2.696859533493968,23,1
i'll pay,2.696859533493968,23,1
go,2.689058889845946,80,36
true i'll,2.6762966029911173,25,2
my partner,2.6762966029911173,25,2
it'll,2.6762966029911173,25,2
job,2.667818285704394,47,14
partner,2.6646454004893916,27,3
drinking it,2.66358244941485,20,0
family to,2.66358244941485,20,0
it daily,2.66358244941485,20,0
no both,2.66358244941485,20,0
no is,2.66358244941485,20,0
safer i'll,2.66358244941485,20,0
both but,2.66358244941485,20,0
moon,2.6306004453345913,22,1
but you,2.6306004453345913,22,1
use both,2.6306004453345913,22,1
the rule,2.618809941646661,57,21
is better,2.612304132388398,46,14
need,2.6082204143473757,315,239
i'll switch,2.602206132734492,32,6
avoid it,2.5993166653914153,26,3
the store,2.5993166653914153,26,3
guy said,2.5966996301169027,30,5
my sister,2.5966996301169027,30,5
sister,2.5966996301169027,30,5
years i'll,2.596127392024669,19,0
and said,2.5953365083031104,28,4
is best,2.5953365083031104,28,4
all day,2.5953365083031104,28,4
throw,2.5953365083031104,28,4
working,2.5919804337356984,39,10
always,2.58847499236328,255,185
don't need,2.5712267788605785,50,17
i'll book,2.562662914067081,21,1
the neighbour,2.5426769434707506,23,2
labels i'll,2.5426769434707506,23,2
i'm sure,2.5268735170146868,18,0
miles i've,2.5268735170146868,18,0
both together,2.5268735170146868,18,0
what i'll,2.5268735170146868,18,0
drinking,2.517854912698901,58,23
wait,2.5164785209024414,49,17
forever,2.498928298646055,34,8
got,2.4946944791115353,59,24
i'll only,2.492914662388092,20,1
never use,2.473865265945949,30,6
and i'm,2.4733240441543782,22,2
i'll add,2.4733240441543782,22,2
time i'll,2.4733240441543782,22,2
appointment,2.4733240441543782,22,2
add,2.4610224811369323,48,17
guy,2.4610224811369323,48,17
buy one,2.455668640270224,17,0
the pendulum,2.455668640270224,17,0
mentioned it,2.455668640270224,17,0
will use,2.455668640270224,17,0
everywhere oh,2.455668640270224,17,0
everywhere mean,2.455668640270224,17,0
best that's,2.455668640270224,17,0
it's best,2.455668640270224,17,0
him i'll,2.455668640270224,17,0
stick,2.452318382336528,68,31
water,2.4446099496340388,255,190
get,2.4424079862331656,179,122
definitely,2.4103728623305436,63,28
rule i'll,2.4094680662680403,36,10
worked,2.4076801357674955,29,6
stick with,2.4048352681922616,47,17
use that,2.402101020139995,21,2
it because,2.402101020139995,21,2
i'll wait,2.3982867454699384,27,5
i'll drink,2.393763727647331,23,3
i'll get,2.391149678127802,64,29
the universe,2.3823378297248254,16,0
day i'll,2.3823378297248254,16,0
universe,2.3823378297248254,16,0
avoiding,2.3823378297248254,16,0
great,2.3708714674274294,32,8
and my,2.354222125640847,30,7
wrap,2.3539547215715664,52,21
everything i'll,2.347362909290402,18,1
it now,2.32885525033229,20,2
taking it,2.32885525033229,20,2
fine i'll,2.325015981851946,33,9
kids,2.325015981851946,33,9
the mechanic,2.322630527264172,41,14
use them,2.322484441983617,24,4
every week,2.322484441983617,24,4
take it,2.321665690868738,22,3
that way,2.306678339789074,15,0
start taking,2.306678339789074,15,0
session,2.306678339789074,15,0
them right,2.306678339789074,15,0
no all,2.306678339789074,15,0
order it,2.306678339789074,15,0
full,2.2965514231200683,58,26
plastic,2.290688066669972,83,45
perfect,2.2823813059191713,34,10
minutes,2.2818501028877436,116,72
i'll stick,2.2767872331312287,59,27
and feel,2.2711890706749167,17,1
it's the,2.2688669077346693,37,12
clear,2.2688669077346693,37,12
it worked,2.249948738513638,23,4
morning,2.2362550353113986,47,19
now i'll,2.2284529960527966,14,0
way i'll,2.2284529960527966,14,0
stopped,2.2284529960527966,14,0
do all,2.2284529960527966,14,0
every is,2.2284529960527966,14,0
warn,2.2284529960527966,14,0
risk it,2.2284529960527966,14,0
working i'll,2.2284529960527966,14,0
using,2.2257395272883502,131,86
to get,2.205480790308343,36,12
new,2.195253628265041,103,63
one and,2.192453363930041,16,1
drink it,2.192453363930041,16,1
new one,2.192453363930041,16,1
it'll be,2.192453363930041,16,1
go with,2.192453363930041,16,1
past,2.192453363930041,16,1
it for,2.1873462348066384,49,21
daily,2.178512535972729,46,19
it off,2.175574900603948,18,2
my baby,2.175574900603948,18,2
will go,2.175574900603948,18,2
and skip,2.175574900603948,18,2
stop using,2.175428169598409,22,4
every morning,2.175428169598409,22,4
the ad,2.1722634729414967,43,17
be,2.1710348450193404,283,226
move,2.1689265871861916,29,8
on my,2.1566556316843295,54,25
all together,2.1473814081107228,13,0
to never,2.1473814081107228,13,0
toxins i'll,2.1473814081107228,13,0
best i'm,2.1473814081107228,13,0
and told,2.1473814081107228,13,0
stop my,2.1473814081107228,13,0
i'll schedule,2.1473814081107228,13,0
seller said,2.1473814081107228,13,0
accurate okay,2.1473814081107228,13,0
it's proven,2.147114109509568,27,7
off,2.1355395471838716,72,39
neighbour,2.1355395471838716,72,39
drive,2.1223285981762117,94,57
i'll eat,2.110885490716085,15,1
them i'll,2.110885490716085,15,1
use more,2.110885490716085,15,1
hours is,2.106623426221694,36,13
time,2.1024105389338357,123,82
brother,2.0987674781521544,21,4
my brother,2.0987674781521544,21,4
said to,2.0987674781521544,21,4
pay,2.0984904430047857,80,46
store guy,2.0951111799445896,17,2
will stop,2.0951111799445896,17,2
together,2.0925125092236487,66,35
makes,2.088500715486103,98,61
instantly,2.0752962422843564,34,12
minutes is,2.0748585745462247,26,7
extra safe,2.066195694969437,51,24
avoid all,2.0631280696962584,12,0
add more,2.0631280696962584,12,0
i'll sign,2.0631280696962584,12,0
amazing,2.0631280696962584,12,0
you recommended,2.0631280696962584,12,0
my body,2.0631280696962584,12,0
better safe,2.0631280696962584,12,0
great so,2.0631280696962584,12,0
already bought,2.0631280696962584,12,0
said this,2.0531405427743765,24,6
had,2.0466330405901436,52,25
i'll avoid,2.0441623932947084,38,15
spray,2.0343734217303115,22,5
it does,2.0261651376094845,14,1
he's been,2.0261651376094845,14,1
it's true,2.0261651376094845,14,1
work i'll,2.0261651376094845,14,1
crystal,2.0261651376094845,14,1
use all,2.0261651376094845,14,1
to use,2.0156790914632094,39,16
the microwave,2.0143005447468596,46,21
for years,2.0132449649260407,30,10
buy new,2.01175422252839,16,2
for it,2.01175422252839,16,2
right so,2.01175422252839,16,2
keep drinking,2.0112661730060863,18,3
cure,2.009927303836564,54,27
until,2.009760532958177,36,14
trust that,2.0083916884948274,33,12
i've,2.0048457961533055,96,61
with,1.9958871652815202,331,279
saw,1.992686456111207,55,28
started,1.9767583397726056,23,6
just add,1.9752858820159618,11,0
now the,1.9752858820159618,11,0
my savings,1.9752858820159618,11,0
you confirmed,1.9752858820159618,11,0
i'll warn,1.9752858820159618,11,0
will keep,1.9752858820159618,11,0
that every,1.9752858820159618,11,0
and cure,1.9752858820159618,11,0
drive minutes,1.9752858820159618,11,0
works so,1.9752858820159618,11,0
so will,1.9752858820159618,11,0
lighter,1.9752858820159618,11,0
so miles,1.9752858820159618,11,0
minutes oh,1.9752858820159618,11,0
start doing,1.9752858820159618,11,0
but,1.9695627145933419,536,483
pain,1.9634349854271416,41,18
book,1.9602135774068576,57,30
whole,1.9602135774068576,57,30
ad,1.9550865803005864,103,68
night,1.9528256241210127,67,38
in my,1.9527034987821983,49,24
baby,1.9520938265974281,38,16
sign,1.9520938265974281,38,16
is always,1.944905515414045,58,31
four,1.9424592491351087,29,10
because the,1.9406715850197085,63,35
plastic wrap,1.939417125277187,42,19
feels,1.9383014015676874,19,4
will make,1.9383014015676874,19,4
supply,1.9383014015676874,19,4
ear,1.9383014015676874,19,4
showed me,1.9383014015676874,19,4
works i'll,1.9379365316261739,54,28
will do,1.9379082521069084,13,1
and expect,1.9379082521069084,13,1
because that's,1.9379082521069084,13,1
so he,1.9379082521069084,13,1
is what,1.9379082521069084,13,1
now i'm,1.9379082521069084,13,1
month,1.9289394196819627,69,40
and now,1.9271390681880465,17,3
heal,1.9271390681880465,17,3
and tell,1.9271390681880465,17,3
gone,1.925189961436938,15,2
he knows,1.925189961436938,15,2
house,1.9148223712267025,36,15
double,1.9051748378312248,30,11
post said,1.8982452893864414,22,6
it to,1.8874622828235161,37,16
one right,1.8833527452222718,10,0
container with,1.8833527452222718,10,0
since the,1.8833527452222718,10,0
it i'm,1.8833527452222718,10,0
remember that,1.8833527452222718,10,0
that oh,1.8833527452222718,10,0
said never,1.8833527452222718,10,0
skip my,1.8833527452222718,10,0
spiritual,1.8833527452222718,10,0
puffiness that's,1.8833527452222718,10,0
it tonight,1.8833527452222718,10,0
follow his,1.8833527452222718,10,0
keep avoiding,1.8833527452222718,10,0
puffiness i'm,1.8833527452222718,10,0
quit,1.8833527452222718,10,0
just follow,1.8833527452222718,10,0
store knows,1.8833527452222718,10,0
i'll throw,1.8833527452222718,10,0
i'll always,1.8833527452222718,10,0
one for,1.8833527452222718,10,0
plan,1.877925704877908,25,8
switch to,1.877925704877908,25,8
arthritis,1.877925704877908,25,8
stay,1.8742092409609028,20,5
i'll go,1.8742092409609028,20,5
said they,1.8742092409609028,20,5
confirmed,1.8742092409609028,20,5
clothes,1.870119142593981,28,10
skip,1.8640756656198438,64,37
taking,1.8592231342516674,50,26
brown,1.8540705680312195,18,4
pour,1.8540705680312195,18,4
must,1.8491658790710168,155,117
days,1.847314961642025,71,43
that no,1.8456481562261722,12,1
it all,1.8456481562261722,12,1
it cures,1.8456481562261722,12,1
my kids,1.8456481562261722,12,1
predicted,1.8456481562261722,12,1
good so,1.8456481562261722,12,1
it my,1.8456481562261722,12,1
recommended it,1.8456481562261722,12,1
eat,1.8425462081372415,51,27
i'll leave,1.839877554288676,16,3
my coworker,1.838621130301304,32,13
we,1.8363591023744257,47,24
savings,1.8351946714082095,26,9
in two,1.8350460995996087,14,2
day to,1.8350460995996087,14,2
money,1.818006782022396,74,46
face,1.817439779208312,21,6
his,1.8127278262287376,63,37
faster,1.8016467943979484,49,26
uncle,1.8006345579244776,24,8
my uncle,1.8006345579244776,24,8
big,1.8006345579244776,24,8
on it,1.7997081659796528,30,12
black,1.7997081659796528,30,12
has,1.7962383595366318,148,112
the post,1.7961362159930399,27,10
years,1.7928749890181195,107,75
in,1.7901058341759206,540,497
photos,1.7809412560759887,34,15
permanently,1.7809412560759887,34,15
friend said,1.7699354026257892,51,28
close,1.7668387345575118,17,4
the shop,1.7667833596885398,22,7
account,1.7667833596885398,22,7
bag,1.7491426324144883,15,3
video said,1.7491426324144883,15,3
put it,1.7491426324144883,15,3
then i'll,1.7491426324144883,15,3
exactly minutes,1.7491426324144883,15,3
keep taking,1.7488089495277015,11,1
just do,1.7488089495277015,11,1
deal,1.7488089495277015,11,1
will get,1.7488089495277015,11,1
it's guaranteed,1.7488089495277015,11,1
them every,1.7488089495277015,11,1
my teeth,1.7488089495277015,11,1
same,1.7433612525767839,48,26
leave it,1.7408764219909156,13,2
spa,1.7408764219909156,13,2
apartment,1.7408764219909156,13,2
next week,1.7408764219909156,13,2
article said,1.7408764219909156,13,2
i'll make,1.7408764219909156,13,2
out the,1.7408764219909156,13,2
felt,1.7408764219909156,13,2
to start,1.7408764219909156,13,2
it is,1.7396048781448201,70,44
that okay,1.734160581011034,20,6
that for,1.734160581011034,20,6
next month,1.7212843470792394,23,8
burns,1.7212843470792394,23,8
to keep,1.7212843470792394,23,8
all the,1.7204142039235732,26,10
the best,1.7169853445686079,45,24
the same,1.7169853445686079,45,24
five,1.7074944490539357,37,18
the influencer,1.703570827783146,18,5
ruins,1.6967359925158858,30,13
mean,1.6909604225755601,42,22
is fine,1.6868462345076376,34,16
friend,1.6810825718385698,280,242
lasts,1.6763051819376191,16,4
because my,1.6763051819376191,16,4
charge,1.6730831735936622,43,23
i'll try,1.6684303253736041,31,14
they,1.65424357190466,181,147
think,1.6532486719840263,28,12
my dog,1.648203564069103,19,6
he showed,1.648203564069103,19,6
influencer said,1.648203564069103,19,6
proven i'll,1.6466670452797914,10,1
think it's,1.6466670452797914,10,1
it anyway,1.6466670452797914,10,1
before the,1.6466670452797914,10,1
day and,1.6466670452797914,10,1
to microwave,1.6466670452797914,10,1
labels are,1.6466670452797914,10,1
signed,1.6466670452797914,10,1
it overnight,1.6466670452797914,10,1
out all,1.6466670452797914,10,1
that's good,1.6466670452797914,10,1
sleep i'll,1.6466670452797914,10,1
standard i'll,1.6466670452797914,10,1
will definitely,1.642139412501473,12,2
store said,1.642139412501473,12,2
it makes,1.642139412501473,12,2
my job,1.642139412501473,12,2
cells,1.642139412501473,12,2
pull toxins,1.642139412501473,12,2
toxins out,1.642139412501473,12,2
work so,1.642139412501473,12,2
bring,1.642139412501473,12,2
it's safe,1.6397313004850471,22,8
more,1.6209375730776436,161,129
but she,1.6189689177983067,130,100
cut,1.6002922970620732,38,20
funds,1.5993170704458315,20,7
fast,1.5961537111941162,30,14
dangerous i'll,1.5821198374809489,15,4
right i'll,1.5821198374809489,15,4
extra,1.565085963280572,97,71
through,1.564034843008962,45,26
water is,1.563322908500458,24,10
lemon,1.563322908500458,24,10
is proven,1.5593377002907676,18,6
cheaper,1.5558158753161802,21,8
in week,1.555574849458445,13,3
me i'll,1.555574849458445,13,3
will not,1.555574849458445,13,3
three times,1.555574849458445,13,3
for everything,1.555574849458445,13,3
coach said,1.548876318604438,28,13
juice,1.5470059524522084,32,16
about my,1.5382937976694098,9,1
bottles,1.5382937976694098,9,1
said no,1.5382937976694098,9,1
more i'll,1.5382937976694098,9,1
add it,1.5382937976694098,9,1
and stop,1.5382937976694098,9,1
we're,1.5382937976694098,9,1
up i'll,1.5382937976694098,9,1
i'm buying,1.5382937976694098,9,1
oil cures,1.53816850451272,11,2
pay the,1.53816850451272,11,2
she has,1.53816850451272,11,2
i'll rely,1.53816850451272,11,2
until the,1.53816850451272,11,2
it's probably,1.53816850451272,11,2
them and,1.53816850451272,11,2
that should,1.53816850451272,11,2
in the,1.535473392681049,132,104
sides,1.522386063218762,29,14
inside,1.5204665039794614,16,5
wrap is,1.5204665039794614,16,5
coconut,1.5168417442465363,22,9
lose,1.5161919312148808,38,21
tuesday,1.5116073173701539,19,7
for me,1.5116073173701539,19,7
safer,1.4993440716924242,39,22
leave,1.4978612317351476,30,15
is the,1.4881888610274259,157,129
we'll,1.483871865961665,14,4
need the,1.483871865961665,14,4
wearing,1.483871865961665,14,4
bad,1.4778503400732566,52,33
warm,1.4725075805656465,27,13
expensive,1.4673001730524773,17,6
foot,1.4673001730524773,17,6
yes,1.4516895101553222,12,3
to save,1.4516895101553222,12,3
delete,1.4516895101553222,12,3
so that's,1.4516895101553222,12,3
tell the,1.4516895101553222,12,3
what they,1.4516895101553222,12,3
did it,1.4516895101553222,12,3
said must,1.4498799462882868,24,11
is bad,1.4498799462882868,24,11
boosts,1.4498799462882868,24,11
miles,1.447855126558009,119,94
negative,1.447051294564104,28,14
fat,1.4341137073033645,33,18
goes,1.4316890634117743,21,9
i'll still,1.4316890634117743,21,9
coconut oil,1.4316890634117743,21,9
get new,1.4281297172208551,10,2
install,1.4281297172208551,10,2
next time,1.4281297172208551,10,2
he has,1.4281297172208551,10,2
never charge,1.4281297172208551,10,2
done,1.4234477799341614,15,5
paid,1.4234477799341614,15,5
get it,1.4209510180472,18,7
the water,1.4209510180472,18,7
store,1.4166461409936613,115,91
remove,1.3978789927573587,22,10
fixes,1.3943941175624834,26,13
twice,1.3943941175624834,26,13
used,1.3903883708566676,41,25
make,1.3846177030963454,63,44
they're,1.3820001705898497,36,21
wait until,1.3810748012321779,13,4
team,1.3810748012321779,13,4
allergies,1.3810748012321779,13,4
right but,1.3810748012321779,13,4
max,1.3801662776269503,19,8
because it,1.3779167326898356,64,45
because it's,1.3775113088550843,42,26
beauty,1.3717903417907602,16,6
turn,1.3717903417907602,16,6
that the,1.3536895643395073,44,28
then,1.3516828688434772,79,59
thicker,1.3439875914802857,20,9
my battery,1.3421756412773747,11,3
said he,1.3421756412773747,11,3
completely safe,1.3421756412773747,11,3
said all,1.3421756412773747,11,3
worked for,1.3421756412773747,11,3
to drink,1.3421756412773747,11,3
my house,1.3421756412773747,11,3
head,1.3421756412773747,11,3
said any,1.3421756412773747,11,3
bad for,1.3421756412773747,11,3
little,1.3421756412773747,11,3
the full,1.3421756412773747,11,3
flush,1.3396718952756912,24,12
cured,1.3270899782141876,17,7
less,1.326954936668791,29,16
that realistic,1.3222578774871074,14,5
of my,1.3222578774871074,14,5
my whole,1.3222578774871074,14,5
do the,1.314437507949064,25,13
nutrients,1.311668908364081,21,10
the parts,1.3109596993367467,9,2
the job,1.3109596993367467,9,2
asked,1.3109596993367467,9,2
avoid them,1.3109596993367467,9,2
the doctor,1.3109596993367467,9,2
and it's,1.3109596993367467,9,2
though,1.2880106176886157,18,8
in your,1.2880106176886157,18,8
medication,1.2880106176886157,18,8
my neighbour,1.2880106176886157,18,8
it okay,1.2880106176886157,18,8
she's,1.2880106176886157,18,8
glass,1.2826203429980791,22,11
and the,1.2785207393545717,52,36
to put,1.2731468987616565,12,4
make sure,1.2731468987616565,12,4
heals,1.2731468987616565,12,4
is good,1.2731468987616565,12,4
and cures,1.2731468987616565,12,4
hidden,1.2731468987616565,12,4
tv,1.2724622322787036,15,6
clears,1.2724622322787036,15,6
die,1.2724622322787036,15,6
six,1.272343378750339,38,24
my phone,1.270137484040306,27,15
weeks,1.261498921910462,46,31
organic,1.2563689646118734,23,12
bottle,1.2535438206840872,19,9
down,1.2433444715175892,34,21
destroys,1.232530868145986,24,13
day for,1.2261632519529244,10,3
before and,1.2261632519529244,10,3
boost,1.2261632519529244,10,3
take the,1.2261632519529244,10,3
detailer said,1.2261632519529244,10,3
and get,1.2261632519529244,10,3
i'm worried,1.2261632519529244,10,3
of people,1.2261632519529244,10,3
salt,1.2180633189294834,43,29
gave,1.2164153129007809,13,5
the five,1.2164153129007809,13,5
index,1.2164153129007809,13,5
it's always,1.2164153129007809,13,5
belly,1.2164153129007809,13,5
even though,1.2164153129007809,13,5
everyone,1.2136150508933705,52,37
raw,1.2107909190704162,25,14
eating,1.205018830815277,37,24
container,1.2002272097917936,65,49
around,1.1955120567622488,21,11
powder,1.1926422140257975,17,8
keep my,1.1926422140257975,17,8
i'll be,1.1926422140257975,17,8
two weeks,1.1926422140257975,17,8
the only,1.1908878186856717,26,15
it works,1.1889487736302355,103,85
charging,1.1857497649436892,32,20
sit,1.185272283006943,8,2
the card,1.185272283006943,8,2
since it's,1.185272283006943,8,2
now but,1.185272283006943,8,2
to worry,1.185272283006943,8,2
to trust,1.185272283006943,8,2
fine so,1.185272283006943,8,2
happened,1.185272283006943,8,2
raises,1.185272283006943,8,2
and i'll,1.185272283006943,8,2
at work,1.185272283006943,8,2
they do,1.185272283006943,8,2
hundreds,1.185272283006943,8,2
it prevents,1.185272283006943,8,2
always use,1.185272283006943,8,2
to my,1.1726029249291032,27,16
the blog,1.1722314762688186,33,21
bottom,1.170856544196265,22,12
melts,1.1689151085568186,14,6
the salesperson,1.1689151085568186,14,6
it's definitely,1.1689151085568186,14,6
with no,1.1689151085568186,14,6
makes it,1.1689151085568186,14,6
said can,1.1689151085568186,14,6
but he,1.1650451448001753,121,103
pay for,1.1601414710666549,18,9
and after,1.1593847730539815,11,4
just keep,1.1593847730539815,11,4
index funds,1.1593847730539815,11,4
belly fat,1.1593847730539815,11,4
away from,1.1593847730539815,11,4
thousands of,1.1593847730539815,11,4
lost,1.1593847730539815,11,4
lemon juice,1.1593847730539815,11,4
coming,1.1593847730539815,11,4
wait for,1.1593847730539815,11,4
it in,1.1557517681538862,28,17
said should,1.1557517681538862,28,17
good,1.1491585725287283,101,84
lid,1.148557885487822,23,13
bleach,1.140177530457003,29,18
into,1.1366410733100736,36,24
the seller,1.1314252748704952,19,10
said my,1.1302494108803354,45,32
it has,1.128536050084344,15,7
gold,1.128536050084344,15,7
says this,1.128536050084344,15,7
immediately,1.1282988424962883,24,14
side,1.125745975807388,30,19
your,1.12566932595155,222,205
group said,1.1058717112782874,20,11
grow,1.1058717112782874,20,11
basically,1.105349261889292,12,5
sunburn,1.105349261889292,12,5
as good,1.105349261889292,12,5
cures it,1.105349261889292,12,5
sent,1.105349261889292,12,5
but i'll,1.105349261889292,12,5
cheap,1.105349261889292,12,5
passwords,1.105349261889292,12,5
bedroom,1.105349261889292,12,5
the cause,1.102557205737754,9,3
it's standard,1.102557205737754,9,3
